Country,Cumulative number of cases,Local chains of transmission,date,Number of new cases since last WHO update,Date of last report,Number recovered,Date last probable case reported,Date for which cumulative number of cases is current,Number_of_deaths
Germany,1,None*,2003-03-17,NA,NA,NA,NA,NA,0
Canada,8,Yes,2003-03-17,NA,NA,NA,NA,NA,2
Singapore,20,Yes,2003-03-17,NA,NA,NA,NA,NA,0
Hong Kong Special Administrative Region of China,95,Yes,2003-03-17,NA,NA,NA,NA,NA,1
Switzerland,2,To be determined,2003-03-17,NA,NA,NA,NA,NA,0
Thailand,1,None*,2003-03-17,NA,NA,NA,NA,NA,0
Viet Nam,40,Yes,2003-03-17,NA,NA,NA,NA,NA,1
Total,167,NA,2003-03-17,NA,NA,NA,NA,NA,4
Germany,2,None*,2003-03-18,NA,NA,NA,NA,NA,0
Canada,8,Yes,2003-03-18,NA,NA,NA,NA,NA,2
China,NA, ,2003-03-18,NA,NA,NA,NA,NA,NA
Singapore,23,Yes,2003-03-18,NA,NA,NA,NA,NA,0
Hong Kong Special Administrative Region of China,123,Yes,2003-03-18,NA,NA,NA,NA,NA,1
Taiwan China,3,Yes,2003-03-18,NA,NA,NA,NA,NA,0
Thailand,1,None*,2003-03-18,NA,NA,NA,NA,NA,0
Viet Nam,57,Yes,2003-03-18,NA,NA,NA,NA,NA,1
Slovenia,1,None*,2003-03-18,NA,NA,NA,NA,NA,0
United Kingdom,1,None*,2003-03-18,NA,NA,NA,NA,NA,0
Total,219, ,2003-03-18,NA,NA,NA,NA,NA,4
Canada,8,Yes,2003-03-19,NA,NA,NA,NA,NA,2
China,NA, ,2003-03-19,NA,NA,NA,NA,NA,NA
Germany,1,None*,2003-03-19,NA,NA,NA,NA,NA,0
Hong Kong Special Administrative Region of China,150,Yes,2003-03-19,NA,NA,NA,NA,NA,5
Singapore,31,Yes,2003-03-19,NA,NA,NA,NA,NA,0
Slovenia,1,None*,2003-03-19,NA,NA,NA,NA,NA,0
Spain,1,To be determined,2003-03-19,NA,NA,NA,NA,NA,0
Taiwan China,3,Yes,2003-03-19,NA,NA,NA,NA,NA,0
Thailand,1,None*,2003-03-19,NA,NA,NA,NA,NA,0
United Kingdom,1,None*,2003-03-19,NA,NA,NA,NA,NA,0
United States,11,To be determined,2003-03-19,NA,NA,NA,NA,NA,0
Viet Nam,56,Yes,2003-03-19,NA,NA,NA,NA,NA,2
Total,264, ,2003-03-19,NA,NA,NA,NA,NA,9
Canada,9,Yes,2003-03-20,NA,NA,NA,NA,NA,2
China,NA, ,2003-03-20,NA,NA,NA,NA,NA,NA
Germany,1,None*,2003-03-20,NA,NA,NA,NA,NA,0
Hong Kong Special Administrative Region of China,173,Yes,2003-03-20,NA,NA,NA,NA,NA,6
Singapore,34,Yes,2003-03-20,NA,NA,NA,NA,NA,0
Slovenia,1,None*,2003-03-20,NA,NA,NA,NA,NA,0
Spain,1,To be determined,2003-03-20,NA,NA,NA,NA,NA,0
Switzerland,7,To be determined,2003-03-20,NA,NA,NA,NA,NA,0
Taiwan China,4,Yes,2003-03-20,NA,NA,NA,NA,NA,0
Thailand,1,None*,2003-03-20,NA,NA,NA,NA,NA,0
United Kingdom,2,To be determined,2003-03-20,NA,NA,NA,NA,NA,0
United States,11,To be determined,2003-03-20,NA,NA,NA,NA,NA,0
Viet Nam,62,Yes,2003-03-20,NA,NA,NA,NA,NA,2
Total,306, ,2003-03-20,NA,NA,NA,NA,NA,10
Canada,9, Yes,2003-03-21,NA,NA,NA,NA,NA,2
China,NA, ,2003-03-21,NA,NA,NA,NA,NA,NA
Germany,1, None*,2003-03-21,NA,NA,NA,NA,NA,0
Hong Kong Special Administrative Region of China,203, Yes,2003-03-21,NA,NA,NA,NA,NA,6
Italy,1, None*,2003-03-21,NA,NA,NA,NA,NA,0
Republic of Ireland,1, None*,2003-03-21,NA,NA,NA,NA,NA,0
Singapore,39, Yes,2003-03-21,NA,NA,NA,NA,NA,0
Slovenia,1, None*,2003-03-21,NA,NA,NA,NA,NA,0
Spain,1, None*,2003-03-21,NA,NA,NA,NA,NA,0
Switzerland,7, To be determined,2003-03-21,NA,NA,NA,NA,NA,0
Taiwan China,6, Yes,2003-03-21,NA,NA,NA,NA,NA,0
Thailand,4, To be determined,2003-03-21,NA,NA,NA,NA,NA,0
United Kingdom,2, None*,2003-03-21,NA,NA,NA,NA,NA,0
United States,13, To be determined,2003-03-21,NA,NA,NA,NA,NA,0
Viet Nam,62, Yes,2003-03-21,NA,NA,NA,NA,NA,2
Total,350, ,2003-03-21,NA,NA,NA,NA,NA,10
Canada,9, Yes,2003-03-22,NA,NA,NA,NA,NA,2
China,NA, ,2003-03-22,NA,NA,NA,NA,NA,NA
Germany,2, None*,2003-03-22,NA,NA,NA,NA,NA,0
Hong Kong Special Administrative Region of China,222, Yes,2003-03-22,NA,NA,NA,NA,NA,7
Italy,2, None*,2003-03-22,NA,NA,NA,NA,NA,0
Republic of Ireland,1, None*,2003-03-22,NA,NA,NA,NA,NA,0
Singapore,44, Yes,2003-03-22,NA,NA,NA,NA,NA,0
Slovenia,1, None*,2003-03-22,NA,NA,NA,NA,NA,0
Spain,1, None*,2003-03-22,NA,NA,NA,NA,NA,0
Switzerland,7, To be determined,2003-03-22,NA,NA,NA,NA,NA,0
Taiwan China,6, Yes,2003-03-22,NA,NA,NA,NA,NA,0
Thailand,4, None*,2003-03-22,NA,NA,NA,NA,NA,0
United Kingdom,2, None*,2003-03-22,NA,NA,NA,NA,NA,0
United States,22, To be determined,2003-03-22,NA,NA,NA,NA,NA,0
Viet Nam,63, Yes,2003-03-22,NA,NA,NA,NA,NA,2
Total,386, ,2003-03-22,NA,NA,NA,NA,NA,11
Canada,11, Yes,2003-03-24,NA,NA,NA,NA,NA,3
China,NA, ,2003-03-24,NA,NA,NA,NA,NA,NA
France,1, None,2003-03-24,NA,NA,NA,NA,NA,0
Germany,4, None,2003-03-24,NA,NA,NA,NA,NA,0
Hong Kong Special Administrative Region of China,260, Yes,2003-03-24,NA,NA,NA,NA,NA,10
Italy,2, None,2003-03-24,NA,NA,NA,NA,NA,0
Republic of Ireland,1, None,2003-03-24,NA,NA,NA,NA,NA,0
Singapore,65, Yes,2003-03-24,NA,NA,NA,NA,NA,0
Spain,1, None,2003-03-24,NA,NA,NA,NA,NA,0
Switzerland,2, To be determined,2003-03-24,NA,NA,NA,NA,NA,0
Taiwan China,6, Yes,2003-03-24,NA,NA,NA,NA,NA,0
Thailand,5, None,2003-03-24,NA,NA,NA,NA,NA,0
United Kingdom,3, None,2003-03-24,NA,NA,NA,NA,NA,0
United States,37, To be determined,2003-03-24,NA,NA,NA,NA,NA,0
Viet Nam,58, Yes,2003-03-24,NA,NA,NA,NA,NA,4
Total,456, ,2003-03-24,NA,NA,NA,NA,NA,17
Canada,11, Yes,2003-03-25,NA,NA,NA,NA,NA,3
China,NA, ,2003-03-25,NA,NA,NA,NA,NA,NA
France,1, None,2003-03-25,NA,NA,NA,NA,NA,0
Germany,4, None,2003-03-25,NA,NA,NA,NA,NA,0
Hong Kong Special Administrative Region of China,286, Yes,2003-03-25,NA,NA,NA,NA,NA,10
Italy,2, None,2003-03-25,NA,NA,NA,NA,NA,0
Republic of Ireland,1, None,2003-03-25,NA,NA,NA,NA,NA,0
Singapore,69, Yes,2003-03-25,NA,NA,NA,NA,NA,0
Switzerland,2, To be determined,2003-03-25,NA,NA,NA,NA,NA,0
Taiwan China,6, Yes,2003-03-25,NA,NA,NA,NA,NA,0
Thailand,5, None,2003-03-25,NA,NA,NA,NA,NA,0
United Kingdom,3, None,2003-03-25,NA,NA,NA,NA,NA,0
United States,39, To be determined,2003-03-25,NA,NA,NA,NA,NA,0
Viet Nam,58, Yes,2003-03-25,NA,NA,NA,NA,NA,4
Total,487, ,2003-03-25,NA,NA,NA,NA,NA,17
Canada,19, Yes,2003-03-26,NA,NA,NA,NA,NA,3
China Guangdong Province,792,Yes,2003-03-26,NA,NA,NA,NA,NA,31
China Hong Kong Special Administrative Region,316, Yes,2003-03-26,NA,NA,NA,NA,NA,10
China Taiwan,6, Yes,2003-03-26,NA,NA,NA,NA,NA,0
France,1, None,2003-03-26,NA,NA,NA,NA,NA,0
Germany,4, None,2003-03-26,NA,NA,NA,NA,NA,0
Italy,3, None,2003-03-26,NA,NA,NA,NA,NA,0
Republic of Ireland,2, None,2003-03-26,NA,NA,NA,NA,NA,0
Singapore,74, Yes,2003-03-26,NA,NA,NA,NA,NA,1
Switzerland,2, To be determined,2003-03-26,NA,NA,NA,NA,NA,0
Thailand,3, None,2003-03-26,NA,NA,NA,NA,NA,0
United Kingdom,3, None,2003-03-26,NA,NA,NA,NA,NA,0
United States,40, To be determined,2003-03-26,NA,NA,NA,NA,NA,0
Viet Nam,58, Yes,2003-03-26,NA,NA,NA,NA,NA,4
Total,1323, ,2003-03-26,NA,NA,NA,NA,NA,49
Canada,28, Yes,2003-03-27,NA,NA,NA,NA,NA,3
China,806, Yes,2003-03-27,NA,NA,NA,NA,NA,34
China Hong Kong Special Administrative Region,367, Yes,2003-03-27,NA,NA,NA,NA,NA,10
China Taiwan,6, Yes,2003-03-27,NA,NA,NA,NA,NA,0
France,1, None,2003-03-27,NA,NA,NA,NA,NA,0
Germany,4, None,2003-03-27,NA,NA,NA,NA,NA,0
Italy,2, None,2003-03-27,NA,NA,NA,NA,NA,0
Republic of Ireland,2, None,2003-03-27,NA,NA,NA,NA,NA,0
Romania,3, None,2003-03-27,NA,NA,NA,NA,NA,0
Singapore,78, Yes,2003-03-27,NA,NA,NA,NA,NA,2
Switzerland,2, To be determined,2003-03-27,NA,NA,NA,NA,NA,0
Thailand,3, None,2003-03-27,NA,NA,NA,NA,NA,0
United Kingdom,3, None,2003-03-27,NA,NA,NA,NA,NA,0
United States,45, To be determined,2003-03-27,NA,NA,NA,NA,NA,0
Viet Nam,58, Yes,2003-03-27,NA,NA,NA,NA,NA,4
Total,1408, ,2003-03-27,NA,NA,NA,NA,NA,53
Canada,29, Yes,2003-03-28,NA,NA,NA,NA,NA,3
China3,806, Yes,2003-03-28,NA,NA,NA,NA,NA,34
China Hong Kong Special Administrative Region,425, Yes,2003-03-28,NA,NA,NA,NA,NA,10
China Taiwan,10, Yes,2003-03-28,NA,NA,NA,NA,NA,0
France,1, None,2003-03-28,NA,NA,NA,NA,NA,0
Germany,4, None,2003-03-28,NA,NA,NA,NA,NA,0
Italy,2, None,2003-03-28,NA,NA,NA,NA,NA,0
Republic of Ireland,2, None,2003-03-28,NA,NA,NA,NA,NA,0
Romania,3, None,2003-03-28,NA,NA,NA,NA,NA,0
Singapore,86, Yes,2003-03-28,NA,NA,NA,NA,NA,2
Switzerland,2, None,2003-03-28,NA,NA,NA,NA,NA,0
Thailand,3, To be determined,2003-03-28,NA,NA,NA,NA,NA,0
United Kingdom,3, None,2003-03-28,NA,NA,NA,NA,NA,0
United States,51, To be determined,2003-03-28,NA,NA,NA,NA,NA,0
Viet Nam,58, Yes,2003-03-28,NA,NA,NA,NA,NA,4
Total,1485, ,2003-03-28,NA,NA,NA,NA,NA,53
Canada,37, Yes,2003-03-29,NA,NA,NA,NA,NA,3
China3,806, Yes,2003-03-29,NA,NA,NA,NA,NA,34
China Hong Kong Special Administrative Region,470, Yes,2003-03-29,NA,NA,NA,NA,NA,10
China Taiwan,10, Yes,2003-03-29,NA,NA,NA,NA,NA,0
France,1, None,2003-03-29,NA,NA,NA,NA,NA,0
Germany,4, None,2003-03-29,NA,NA,NA,NA,NA,0
Italy,2, None,2003-03-29,NA,NA,NA,NA,NA,0
Republic of Ireland,2, None,2003-03-29,NA,NA,NA,NA,NA,0
Romania,3, None,2003-03-29,NA,NA,NA,NA,NA,0
Singapore,89, Yes,2003-03-29,NA,NA,NA,NA,NA,2
Switzerland,3, None,2003-03-29,NA,NA,NA,NA,NA,0
Thailand,3, None,2003-03-29,NA,NA,NA,NA,NA,1
United Kingdom,3, None,2003-03-29,NA,NA,NA,NA,NA,0
United States,59, To be determined,2003-03-29,NA,NA,NA,NA,NA,0
Viet Nam,58, Yes,2003-03-29,NA,NA,NA,NA,NA,4
Total,1550, ,2003-03-29,NA,NA,NA,NA,NA,54
Canada,44, Yes,2003-03-31,NA,NA,NA,NA,NA,4
China3,806, Yes,2003-03-31,NA,NA,NA,NA,NA,34
China Hong Kong Special Administrative Region,530, Yes,2003-03-31,NA,NA,NA,NA,NA,13
China Taiwan,10, Yes,2003-03-31,NA,NA,NA,NA,NA,0
France,1, None,2003-03-31,NA,NA,NA,NA,NA,0
Germany,5, None,2003-03-31,NA,NA,NA,NA,NA,0
Italy,2, None,2003-03-31,NA,NA,NA,NA,NA,0
Republic of Ireland,2, None,2003-03-31,NA,NA,NA,NA,NA,0
Romania,3, None,2003-03-31,NA,NA,NA,NA,NA,0
Singapore,91, Yes,2003-03-31,NA,NA,NA,NA,NA,2
Switzerland,3, None,2003-03-31,NA,NA,NA,NA,NA,0
Thailand,5, None,2003-03-31,NA,NA,NA,NA,NA,1
United Kingdom,3, None,2003-03-31,NA,NA,NA,NA,NA,0
United States,59, To be determined,2003-03-31,NA,NA,NA,NA,NA,0
Viet Nam,58, Yes,2003-03-31,NA,NA,NA,NA,NA,4
Total,1622, ,2003-03-31,NA,NA,NA,NA,NA,58
Australia,1, None,2003-04-01,NA,NA,NA,NA,NA,0
Belgium,1, None,2003-04-01,NA,NA,NA,NA,NA,0
Canada,53, Yes,2003-04-01,NA,NA,NA,NA,NA,4
China3,806, Yes,2003-04-01,NA,NA,NA,NA,NA,34
China Hong Kong Special Administrative Region,685, Yes,2003-04-01,NA,NA,NA,NA,NA,16
China Taiwan,13, Yes,2003-04-01,NA,NA,NA,NA,NA,0
France,1, None,2003-04-01,NA,NA,NA,NA,NA,0
Germany,5, None,2003-04-01,NA,NA,NA,NA,NA,0
Italy,3, None,2003-04-01,NA,NA,NA,NA,NA,0
Republic of Ireland,2, None,2003-04-01,NA,NA,NA,NA,NA,0
Romania,3, None,2003-04-01,NA,NA,NA,NA,NA,0
Singapore,92, Yes,2003-04-01,NA,NA,NA,NA,NA,3
Switzerland,3, None,2003-04-01,NA,NA,NA,NA,NA,0
Thailand,6, None,2003-04-01,NA,NA,NA,NA,NA,1
United Kingdom,3, None,2003-04-01,NA,NA,NA,NA,NA,0
United States,69, To be determined,2003-04-01,NA,NA,NA,NA,NA,0
Viet Nam,58, Yes,2003-04-01,NA,NA,NA,NA,NA,4
Total,1804, ,2003-04-01,NA,NA,NA,NA,NA,62
Australia,1, None,2003-04-02,NA,NA,NA,NA,NA,0
Belgium,1, None,2003-04-02,NA,NA,NA,NA,NA,0
Canada,58, Yes,2003-04-02,NA,NA,NA,NA,NA,6
China,1190, Yes,2003-04-02,NA,NA,NA,NA,NA,46
China Hong Kong Special Administrative Region,708, Yes,2003-04-02,NA,NA,NA,NA,NA,16
China Taiwan,13, Yes,2003-04-02,NA,NA,NA,NA,NA,0
France,1, None,2003-04-02,NA,NA,NA,NA,NA,0
Germany,5, None,2003-04-02,NA,NA,NA,NA,NA,0
Italy,3, None,2003-04-02,NA,NA,NA,NA,NA,0
Republic of Ireland,2, None,2003-04-02,NA,NA,NA,NA,NA,0
Romania,3, None,2003-04-02,NA,NA,NA,NA,NA,0
Singapore,95, Yes,2003-04-02,NA,NA,NA,NA,NA,4
Spain,1, None,2003-04-02,NA,NA,NA,NA,NA,0
Switzerland,2, None,2003-04-02,NA,NA,NA,NA,NA,0
Thailand,7, None,2003-04-02,NA,NA,NA,NA,NA,2
United Kingdom,3, None,2003-04-02,NA,NA,NA,NA,NA,0
United States,72, To be determined,2003-04-02,NA,NA,NA,NA,NA,0
Viet Nam,58, Yes,2003-04-02,NA,NA,NA,NA,NA,4
Total,2223, ,2003-04-02,NA,NA,NA,NA,NA,78
Australia,1, None,2003-04-03,NA,NA,NA,NA,NA,0
Belgium,1, None,2003-04-03,NA,NA,NA,NA,NA,0
Brazil,1, None,2003-04-03,NA,NA,NA,NA,NA,0
Canada,62, Yes,2003-04-03,NA,NA,NA,NA,NA,6
China,1190, Yes,2003-04-03,NA,NA,NA,NA,NA,46
China Hong Kong Special Administrative Region,734, Yes,2003-04-03,NA,NA,NA,NA,NA,17
China Taiwan,14, Yes,2003-04-03,NA,NA,NA,NA,NA,0
France,3, None,2003-04-03,NA,NA,NA,NA,NA,0
Germany,5, None,2003-04-03,NA,NA,NA,NA,NA,0
Italy,3, None,2003-04-03,NA,NA,NA,NA,NA,0
Republic of Ireland,1, None,2003-04-03,NA,NA,NA,NA,NA,0
Romania,1, None,2003-04-03,NA,NA,NA,NA,NA,0
Singapore,98, Yes,2003-04-03,NA,NA,NA,NA,NA,4
Switzerland,2, None,2003-04-03,NA,NA,NA,NA,NA,0
Thailand,7, None,2003-04-03,NA,NA,NA,NA,NA,2
United Kingdom,3, None,2003-04-03,NA,NA,NA,NA,NA,0
United States,85, Being determined,2003-04-03,NA,NA,NA,NA,NA,0
Viet Nam,59, Yes,2003-04-03,NA,NA,NA,NA,NA,4
Total,2270, ,2003-04-03,NA,NA,NA,NA,NA,79
Australia,1, None,2003-04-04,NA,NA,NA,NA,NA,0
Belgium,1, None,2003-04-04,NA,NA,NA,NA,NA,0
Brazil,1, None,2003-04-04,NA,NA,NA,NA,NA,0
Canada,69, Yes,2003-04-04,NA,NA,NA,NA,NA,7
China,1220, Yes,2003-04-04,NA,NA,NA,NA,NA,49
China Hong Kong Special Administrative Region,761, Yes,2003-04-04,NA,NA,NA,NA,NA,17
China Taiwan,15, Yes,2003-04-04,NA,NA,NA,NA,NA,0
France,3, None,2003-04-04,NA,NA,NA,NA,NA,0
Germany,5, None,2003-04-04,NA,NA,NA,NA,NA,0
Italy,3, None,2003-04-04,NA,NA,NA,NA,NA,0
Republic of Ireland,1, None,2003-04-04,NA,NA,NA,NA,NA,0
Romania,1, None,2003-04-04,NA,NA,NA,NA,NA,0
Singapore,100, Yes,2003-04-04,NA,NA,NA,NA,NA,5
Spain,1, None,2003-04-04,NA,NA,NA,NA,NA,0
Switzerland,2, None,2003-04-04,NA,NA,NA,NA,NA,0
Thailand,7, None,2003-04-04,NA,NA,NA,NA,NA,2
United Kingdom,3, None,2003-04-04,NA,NA,NA,NA,NA,0
United States,100, Being determined,2003-04-04,NA,NA,NA,NA,NA,0
Viet Nam,59, Yes,2003-04-04,NA,NA,NA,NA,NA,4
Total,2353, ,2003-04-04,NA,NA,NA,NA,NA,84
Australia,1, None,2003-04-05,NA,NA,NA,NA,NA,0
Belgium,1, None,2003-04-05,NA,NA,NA,NA,NA,0
Brazil,1, None,2003-04-05,NA,NA,NA,NA,NA,0
Canada,74, Yes,2003-04-05,NA,NA,NA,NA,NA,7
China,1220, Yes,2003-04-05,NA,NA,NA,NA,NA,49
China Hong Kong Special Administrative Region,800, Yes,2003-04-05,NA,NA,NA,NA,NA,20
China Taiwan,17, Yes,2003-04-05,NA,NA,NA,NA,NA,0
France,3, None,2003-04-05,NA,NA,NA,NA,NA,0
Germany,5, None,2003-04-05,NA,NA,NA,NA,NA,0
Italy,3, None,2003-04-05,NA,NA,NA,NA,NA,0
Malaysia,1, None,2003-04-05,NA,NA,NA,NA,NA,1
Republic of Ireland,1, None,2003-04-05,NA,NA,NA,NA,NA,0
Romania,1, None,2003-04-05,NA,NA,NA,NA,NA,0
Singapore,101, Yes,2003-04-05,NA,NA,NA,NA,NA,6
Spain,1, None,2003-04-05,NA,NA,NA,NA,NA,0
Switzerland,1, None,2003-04-05,NA,NA,NA,NA,NA,0
Thailand,7, None,2003-04-05,NA,NA,NA,NA,NA,2
United Kingdom,4, None,2003-04-05,NA,NA,NA,NA,NA,0
United States,115, None,2003-04-05,NA,NA,NA,NA,NA,0
Viet Nam,59, Yes,2003-04-05,NA,NA,NA,NA,NA,4
Total,2416, ,2003-04-05,NA,NA,NA,NA,NA,89
Australia,1, None,2003-04-07,NA,NA,NA,NA,NA,0
Brazil,1, None,2003-04-07,NA,NA,NA,NA,NA,0
Canada,90, Yes,2003-04-07,NA,NA,NA,NA,NA,9
China,1268, Yes,2003-04-07,NA,NA,NA,NA,NA,53
China Hong Kong Special Administrative Region,883, Yes,2003-04-07,NA,NA,NA,NA,NA,23
China Taiwan,21, Yes,2003-04-07,NA,NA,NA,NA,NA,0
France,3, None,2003-04-07,NA,NA,NA,NA,NA,0
Germany,5, None,2003-04-07,NA,NA,NA,NA,NA,0
Italy,3, None,2003-04-07,NA,NA,NA,NA,NA,0
Malaysia,1, None,2003-04-07,NA,NA,NA,NA,NA,1
Republic of Ireland,1, None,2003-04-07,NA,NA,NA,NA,NA,0
Romania,1, None,2003-04-07,NA,NA,NA,NA,NA,0
Singapore,106, Yes,2003-04-07,NA,NA,NA,NA,NA,6
Spain,1, None,2003-04-07,NA,NA,NA,NA,NA,0
Switzerland,1, None,2003-04-07,NA,NA,NA,NA,NA,0
Thailand,7, None,2003-04-07,NA,NA,NA,NA,NA,2
United Kingdom,5, None,2003-04-07,NA,NA,NA,NA,NA,0
United States,141, None,2003-04-07,NA,NA,NA,NA,NA,0
Viet Nam,62, Yes,2003-04-07,NA,NA,NA,NA,NA,4
Total,2601, ,2003-04-07,NA,NA,NA,NA,NA,98
Australia,1, None,2003-04-08,NA,NA,NA,NA,NA,0
Brazil,1, None,2003-04-08,NA,NA,NA,NA,NA,0
Canada,91, Yes,2003-04-08,NA,NA,NA,NA,NA,10
China,1279, Yes,2003-04-08,NA,NA,NA,NA,NA,53
China Hong Kong Special Administrative Region,928, Yes,2003-04-08,NA,NA,NA,NA,NA,25
China Taiwan,19, Yes,2003-04-08,NA,NA,NA,NA,NA,0
France,4, None,2003-04-08,NA,NA,NA,NA,NA,0
Germany,5, None,2003-04-08,NA,NA,NA,NA,NA,0
Italy,3, None,2003-04-08,NA,NA,NA,NA,NA,0
Malaysia,1, None,2003-04-08,NA,NA,NA,NA,NA,1
Republic of Ireland,1, None,2003-04-08,NA,NA,NA,NA,NA,0
Romania,1, None,2003-04-08,NA,NA,NA,NA,NA,0
Singapore,113, Yes,2003-04-08,NA,NA,NA,NA,NA,8
Spain,1, None,2003-04-08,NA,NA,NA,NA,NA,0
Switzerland,1, None,2003-04-08,NA,NA,NA,NA,NA,0
Thailand,7, None,2003-04-08,NA,NA,NA,NA,NA,2
United Kingdom,5, None,2003-04-08,NA,NA,NA,NA,NA,0
United States,148, None,2003-04-08,NA,NA,NA,NA,NA,0
Viet Nam,62, Yes,2003-04-08,NA,NA,NA,NA,NA,4
Total,2671, ,2003-04-08,NA,NA,NA,NA,NA,103
Brazil,1, None,2003-04-09,NA,NA,NA,NA,NA,0
Canada,94, Yes,2003-04-09,NA,NA,NA,NA,NA,10
China,1280, Yes,2003-04-09,NA,NA,NA,NA,NA,53
China Hong Kong Special Administrative Region,970, Yes,2003-04-09,NA,NA,NA,NA,NA,27
China Taiwan,19, Yes,2003-04-09,NA,NA,NA,NA,NA,0
France,4, None,2003-04-09,NA,NA,NA,NA,NA,0
Germany,5, None,2003-04-09,NA,NA,NA,NA,NA,0
Italy,3, None,2003-04-09,NA,NA,NA,NA,NA,0
Malaysia,1, None,2003-04-09,NA,NA,NA,NA,NA,1
Republic of Ireland,1, None,2003-04-09,NA,NA,NA,NA,NA,0
Romania,1, None,2003-04-09,NA,NA,NA,NA,NA,0
Singapore,118, Yes,2003-04-09,NA,NA,NA,NA,NA,9
Spain,1, None,2003-04-09,NA,NA,NA,NA,NA,0
Switzerland,1, None,2003-04-09,NA,NA,NA,NA,NA,0
Thailand,7, None,2003-04-09,NA,NA,NA,NA,NA,2
United Kingdom,5, None,2003-04-09,NA,NA,NA,NA,NA,0
United States,149, None,2003-04-09,NA,NA,NA,NA,NA,0
Viet Nam,62, Yes,2003-04-09,NA,NA,NA,NA,NA,4
Total,2722, ,2003-04-09,NA,NA,NA,NA,NA,106
Number of deaths,NA,NA,2003-04-10,NA,NA,NA,NA,NA,NA
Brazil,2, 0,2003-04-10,1,NA,NA,NA,NA,0
Canada,97, 22,2003-04-10,3,NA,NA,NA,NA,10
China,1290, 1025,2003-04-10,10,NA,NA,NA,NA,55
China Hong Kong Special Administrative Region    4,998, 154,2003-04-10,28,NA,NA,NA,NA,30
China Taiwan,19, 5,2003-04-10,0,NA,NA,NA,NA,0
France,4, 0,2003-04-10,0,NA,NA,NA,NA,0
Germany,6, 2,2003-04-10,1,NA,NA,NA,NA,0
Italy,3, 1,2003-04-10,0,NA,NA,NA,NA,0
Kuwait,1, 0,2003-04-10,1,NA,NA,NA,NA,0
Malaysia,3, 0,2003-04-10,2,NA,NA,NA,NA,1
Republic of Ireland,1, 1,2003-04-10,0,NA,NA,NA,NA,0
Romania,1, not available,2003-04-10,0,NA,NA,NA,NA,0
Singapore,126, 75,2003-04-10,8,NA,NA,NA,NA,9
Spain,1, 0,2003-04-10,0,NA,NA,NA,NA,0
Switzerland,1, 1,2003-04-10,0,NA,NA,NA,NA,0
Thailand,7, 5,2003-04-10,0,NA,NA,NA,NA,2
United Kingdom,5, 3,2003-04-10,0,NA,NA,NA,NA,0
United States,154," not 
    available",2003-04-10,5,NA,NA,NA,NA,0
Viet Nam,62, 43,2003-04-10,0,NA,NA,NA,NA,4
Total,2781,"
    1337",2003-04-10,59,NA,NA,NA,NA,111
Number of deaths,NA,NA,2003-04-11,NA,NA,NA,NA,NA,NA
Brazil,2, 0,2003-04-11,0,NA,NA,NA,NA,0
Canada,98,25,2003-04-11,1,NA,NA,NA,NA,10
China,1309, 1037,2003-04-11,19,NA,NA,NA,NA,58
China Hong Kong Special Administrative Region 4,1059, 169,2003-04-11,61,NA,NA,NA,NA,32
China Taiwan,21, 6,2003-04-11,2,NA,NA,NA,NA,0
France,5, 0,2003-04-11,1,NA,NA,NA,NA,0
Germany,6, 4,2003-04-11,0,NA,NA,NA,NA,0
Italy,3,2,2003-04-11,0,NA,NA,NA,NA,0
Japan,4,0,2003-04-11,4,NA,NA,NA,NA,0
Kuwait,1, 0,2003-04-11,0,NA,NA,NA,NA,0
Malaysia,4, 0,2003-04-11,1,NA,NA,NA,NA,1
Republic of Ireland,1, 1,2003-04-11,0,NA,NA,NA,NA,0
Romania,1, not available,2003-04-11,0,NA,NA,NA,NA,0
Singapore,133, 77,2003-04-11,7,NA,NA,NA,NA,9
South Africa,1,0,2003-04-11,1,NA,NA,NA,NA,0
Spain,1, 0,2003-04-11,0,NA,NA,NA,NA,0
Switzerland,1, 1,2003-04-11,0,NA,NA,NA,NA,0
Thailand,7, 5,2003-04-11,0,NA,NA,NA,NA,2
United Kingdom,5, 3,2003-04-11,0,NA,NA,NA,NA,0
United States,166, not available,2003-04-11,12,NA,NA,NA,NA,0
Viet Nam,62, 43,2003-04-11,0,NA,NA,NA,NA,4
Total,2890,1373,2003-04-11,109,NA,NA,NA,NA,116
Number of deaths,NA,NA,2003-04-12,NA,NA,NA,NA,NA,NA
Brazil,2, 0,2003-04-12,0,NA,NA,NA,NA,0
Canada,101,26,2003-04-12,3,NA,NA,NA,NA,10
China,1309, 1037,2003-04-12,0,NA,NA,NA,NA,58
China Hong Kong Special Administrative Region 4,1108, 215,2003-04-12,49,NA,NA,NA,NA,35
China Taiwan,23, 7,2003-04-12,2,NA,NA,NA,NA,0
France,5,1,2003-04-12,0,NA,NA,NA,NA,0
Germany,6, 4,2003-04-12,0,NA,NA,NA,NA,0
Italy,3,2,2003-04-12,0,NA,NA,NA,NA,0
Japan,4,0,2003-04-12,0,NA,NA,NA,NA,0
Kuwait,1, 0,2003-04-12,0,NA,NA,NA,NA,0
Malaysia,4, 0,2003-04-12,0,NA,NA,NA,NA,1
Republic of Ireland,1, 1,2003-04-12,0,NA,NA,NA,NA,0
Romania,1, not available,2003-04-12,0,NA,NA,NA,NA,0
